Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 07:54,1.0,35.8198309,-106.2019286,S73871604,1,2020,9,21,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 15:15,2.0,31.8368785,-109.0286636,S73858250,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 08:34,1.0,34.448625,-111.470892,S73839486,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 08:13,1.0,31.7905434,-106.4549595,S73859506,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:52,1.0,35.038646,-106.204189,S73827930,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:33,1.0,31.7535968,-103.1609472,S73820698,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:20,1.0,35.2265012,-106.5988129,S73834720,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:03,1.0,31.8349826,-106.6082811,S73827036,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:02,1.0,38.7992853,-109.2046978,S73843065,1,2020,9,20,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 12:07,1.0,29.537625,-98.837767,S73834970,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 11:14,1.0,37.98014,-100.86064,S73780644,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 10:55,1.0,31.50034,-110.275623,S73790163,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 10:30,1.0,35.0807861,-106.6717958,S73788091,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 09:51,1.0,35.167564,-106.3801861,S73802889,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 09:05,1.0,38.4273028,-120.9178019,S73788812,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 08:23,1.0,31.5177588,-110.3884391,S73785673,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 08:15,1.0,30.5962706,-103.9347249,S73808538,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 07:45,1.0,37.7727501,-111.6155577,S73811217,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 06:39,2.0,34.8020211,-106.7173827,S73780632,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 06:23,1.0,31.4384285,-110.1076526,S73780696,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19,1.0,32.284824,-106.7645144,S73783815,1,2020,9,19,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 17:45,1.0,39.635246,-104.88372,S73763449,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 17:27,1.0,35.1279291,-106.5902513,S73759085,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 10:03,1.0,34.821938,-111.818123,S73743515,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 09:35,1.0,32.1861206,-110.8162263,S73753353,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 09:11,1.0,35.3160816,-111.5550497,S73742200,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 08:00,1.0,38.4558585,-107.8632116,S73743049,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 07:58,1.0,31.858608,-106.611631,S73736205,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-18 07:00,1.0,34.8212285,-111.8185955,S73758371,1,2020,9,18,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 17:47,1.0,37.919348,-99.40875,S73719656,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 17:25,1.0,35.1770706,-106.6414225,S73722393,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 09:50,1.0,31.421952,-110.2966156,S73707180,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 08:40,1.0,34.9274153,-110.1438162,S73707490,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 08:28,2.0,33.322058,-108.875486,S73783729,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:48,1.0,39.8723965,-75.3699875,S73703131,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:33,1.0,32.001288,-104.794715,S73788404,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:19,1.0,32.8668999,-107.3059559,S73786192,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17 07:18,1.0,35.4760727,-106.0940893,S73699964,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-17,1.0,30.3660623,-103.6742771,S73707905,1,2020,9,17,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 18:07,1.0,31.8209406,-106.5630008,S73687837,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 17:35,1.0,32.328408,-110.850251,S73688211,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 17:00,2.0,30.6153115,-103.9919472,S73684664,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 15:30,1.0,35.8955694,-105.2120683,S73765329,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 10:20,1.0,34.520847,-103.1939531,S73670878,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 09:45,1.0,31.8988382,-109.1622511,S73707771,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:30,1.0,31.380465,-110.227961,S73667954,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:10,1.0,32.2525151,-106.8224716,S73674990,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:00,1.0,39.9970462,-105.1141834,S73690549,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 07:45,1.0,31.992824,-102.118528,S73699126,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 07:45,1.0,35.084377,-106.6203403,S73675421,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 07:30,4.0,35.6954328,-106.0057391,S73665406,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:49,1.0,32.255728,-110.733631,S73665953,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:42,1.0,34.4030236,-103.0429709,S73665752,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:37,2.0,35.098239,-106.621195,S73699616,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:17,1.0,32.5567428,-117.0849895,S73672491,1,2020,9,16,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 18:50,1.0,31.9626851,-106.6660988,S73651312,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 14:35,2.0,33.7945401,-106.8739271,S73651057,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 14:18,1.0,38.7528785,-108.0821228,S73641627,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 12:34,1.0,38.5491054,-106.9416825,S73637425,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 10:55,1.0,32.2602256,-106.7233005,S73759219,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 10:15,1.0,31.9860597,-104.7691626,S73787846,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:56,1.0,39.0541513,-108.5741472,S73637015,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:17,1.0,31.9172001,-109.2790985,S73645715,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:05,1.0,32.373369,-106.833055,S73638865,1,2020,9,15,Trochilidae
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:00,1.0,44.9573137,-116.2246686,S73685649,1,2020,9,15,Trochilidae
