Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 12:35,1.0,31.913814000000002,-109.140933,S73988079,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 08:59,1.0,34.0880439,-109.41298400000001,S73997360,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 08:09,1.0,35.3792071,-104.19666600000001,S73957744,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:55,1.0,40.7432253,-111.8728888,S73961486,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:19,1.0,35.67391679999999,-106.07101540000001,S73960515,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 07:00,1.0,31.863755600000005,-106.6263426,S73959343,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-23 06:36,1.0,35.17348079999999,-111.67486609999999,S74025143,1,2020,9,23,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 19:02,1.0,31.858597999999997,-106.61149440000001,S73944333,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 17:05,1.0,35.5527006,-105.97133629999999,S74013045,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 14:35,1.0,38.130708299999995,-108.2882452,S73946298,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 13:44,2.0,35.0026369,-106.1884354,S73934314,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 08:16,1.0,35.082939,-106.26224199999999,S73923166,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 07:41,1.0,40.7351775,-111.84345959999999,S73922705,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-22 07:15,1.0,39.7007566,-105.1545078,S73923854,1,2020,9,22,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 16:51,1.0,45.711345200000004,-121.4985982,S74088948,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 14:30,1.0,45.584697,-111.08061780000001,S73920620,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 10:49,1.0,38.2689881,-108.5435727,S73876628,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:35,1.0,31.8012696,-106.50383590000001,S73875311,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:15,1.0,37.309720299999995,-107.8546625,S73885378,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:07,1.0,42.6663004,-118.5646731,S73902185,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 09:02,2.0,32.323151,-106.74301399999999,S73879525,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 08:43,1.0,35.251931,-106.601219,S73871449,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-21 07:54,1.0,35.8198309,-106.20192859999999,S73871604,1,2020,9,21,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 15:15,2.0,31.836878499999997,-109.02866359999999,S73858250,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 08:34,1.0,34.448625,-111.47089199999999,S73839486,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 08:13,1.0,31.7905434,-106.4549595,S73859506,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:52,1.0,35.038646,-106.20418899999999,S73827930,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:33,1.0,31.7535968,-103.16094720000001,S73820698,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:20,1.0,35.2265012,-106.5988129,S73834720,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:03,1.0,31.8349826,-106.6082811,S73827036,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-20 07:02,1.0,38.799285299999994,-109.20469779999999,S73843065,1,2020,9,20,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 11:14,1.0,37.980140000000006,-100.86064,S73780644,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 10:55,1.0,31.50034,-110.275623,S73790163,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 10:30,1.0,35.080786100000005,-106.67179579999998,S73788091,1,2020,9,19,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-19 09:51,1.0,35.167564,-106.3801861,S73802889,1,2020,9,19,Trochilidae,No
