speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L385173,"Key West, FL",2002-01-18,,24.5607833,-81.8069083,True,False,True,S2830364
monpar,Monk Parakeet,Myiopsitta monachus,L143084,Wakodahatchee Wetlands,2002-01-19,,26.4781984,-80.144738,True,False,False,S26312509
monpar,Monk Parakeet,Myiopsitta monachus,L211963,Kendall,2002-01-20 07:00,,25.67928,-80.31727,True,False,True,S19208697
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-01-22 07:00,,25.68765,-80.33864,True,False,False,S8629088
monpar,Monk Parakeet,Myiopsitta monachus,L2284734,Pembroke pines home,2002-01-23 17:00,1.0,26.019048100000003,-80.2426755,True,False,True,S14697742
monpar,Monk Parakeet,Myiopsitta monachus,L211963,Kendall,2002-02-05,,25.67928,-80.31727,True,False,True,S27558756
monpar,Monk Parakeet,Myiopsitta monachus,L1023544,Wellington Environmental Preserve,2002-02-07,,26.6293528,-80.3059387,True,False,False,S28683376
monpar,Monk Parakeet,Myiopsitta monachus,L234146,The Celery Fields,2002-02-08 08:30,2.0,27.3253186,-82.4336821,True,False,False,S54191261
monpar,Monk Parakeet,Myiopsitta monachus,L130961,Naples,2002-02-14,,26.142070800000003,-81.7948074,True,False,True,S16797880
monpar,Monk Parakeet,Myiopsitta monachus,L3954218,"South Beach, Miami",2002-02-15,1.0,25.7843211,-80.12798570000001,True,False,False,S44048394
monpar,Monk Parakeet,Myiopsitta monachus,L554623,Miami Spring Area,2002-02-16 08:00,,25.8168905,-80.28568270000001,True,False,False,S9151615
monpar,Monk Parakeet,Myiopsitta monachus,L870079,6260 60th Ave No,2002-02-17 08:00,,27.8263626,-82.721622,True,False,True,S30644335
monpar,Monk Parakeet,Myiopsitta monachus,L1855949,"Miami, near Airport",2002-02-19 09:00,,25.8091694,-80.2712108,True,False,True,S12412518
monpar,Monk Parakeet,Myiopsitta monachus,L4483692,E Las Olas Blvd area,2002-02-27,,26.1206569,-80.12048709999999,True,False,True,S28923909
monpar,Monk Parakeet,Myiopsitta monachus,L10452501,Phipps Ocean Park,2002-03-01,4.0,26.638508399999996,-80.037341,True,False,False,S63863295
monpar,Monk Parakeet,Myiopsitta monachus,L3134634,Tamarac,2002-03-02 07:30,,26.2195768,-80.26000859999999,True,False,True,S41012526
monpar,Monk Parakeet,Myiopsitta monachus,L131210,Pembroke Pines Mitigation Area,2002-03-03,2.0,26.028984100000002,-80.3744659,True,False,False,S16226356
monpar,Monk Parakeet,Myiopsitta monachus,L10888571,US-41 (Sarasota),2002-03-04,,27.3290087,-82.5310533,True,False,True,S65371241
monpar,Monk Parakeet,Myiopsitta monachus,L123566,Miami,2002-03-11,,25.774279999999997,-80.19367,True,False,True,S22370591
monpar,Monk Parakeet,Myiopsitta monachus,L458792,Kendall Indian Hammocks Park,2002-03-13 14:00,,25.6953,-80.3734,True,False,False,S57372169
monpar,Monk Parakeet,Myiopsitta monachus,L3954218,"South Beach, Miami",2002-03-14,,25.7843211,-80.12798570000001,True,False,False,S27779755
monpar,Monk Parakeet,Myiopsitta monachus,L675849,Lutz Home,2002-03-15,1.0,28.1749093,-82.4546671,True,False,True,S44988936
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2002-03-16 08:00,,27.6327266,-82.71815699999999,True,False,False,S17476920
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-03-22,,25.68765,-80.33864,True,False,False,S17471223
monpar,Monk Parakeet,Myiopsitta monachus,L5181754,Estates of Ft. Lauderdale,2002-03-23,3.0,26.049753,-80.18544250000001,True,False,True,S40155992
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-03-24,12.0,25.68765,-80.33864,True,False,False,S40156115
monpar,Monk Parakeet,Myiopsitta monachus,L874527,Casey Key,2002-03-27 10:00,,27.1781489,-82.4973679,True,False,False,S30356850
monpar,Monk Parakeet,Myiopsitta monachus,L1672316,Fort Lauderdale-Hollywood Inl't Airport,2002-03-29,8.0,26.0714049,-80.14311790000001,True,False,False,S52442705
monpar,Monk Parakeet,Myiopsitta monachus,L211963,Kendall,2002-03-30,6.0,25.67928,-80.31727,True,False,True,S47317106
monpar,Monk Parakeet,Myiopsitta monachus,L1836154,Princeton,2002-04-01,,25.53849,-80.40898,True,False,True,S57769349
monpar,Monk Parakeet,Myiopsitta monachus,L1052757,Island Park,2002-04-02 16:00,,27.331133899999998,-82.545197,True,False,False,S22506093
monpar,Monk Parakeet,Myiopsitta monachus,L5780131,Burger King Parking Lot,2002-04-05,2.0,25.4468156,-80.47536109999999,True,False,True,S36509145
monpar,Monk Parakeet,Myiopsitta monachus,L3954218,"South Beach, Miami",2002-04-07 10:30,1.0,25.7843211,-80.12798570000001,True,False,False,S72487513
monpar,Monk Parakeet,Myiopsitta monachus,L2039509,Homestead. FL,2002-04-13 13:00,,25.4711736,-80.4442978,True,False,True,S63590115
monpar,Monk Parakeet,Myiopsitta monachus,L1514553,Homestead,2002-04-14 12:30,8.0,25.4442085,-80.4777173,True,False,True,S10564807
monpar,Monk Parakeet,Myiopsitta monachus,L127435,Everglades NP--Coe Visitor Center (Miami-Dade),2002-04-17,2.0,25.3944,-80.5843,True,False,False,S70582082
monpar,Monk Parakeet,Myiopsitta monachus,L3462832,Miami Beach,2002-04-19,,25.8166587,-80.1209521,True,False,False,S61379839
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-04-20 07:45,,25.68765,-80.33864,True,False,False,S20864183
monpar,Monk Parakeet,Myiopsitta monachus,L607886,Serenoa Golf Club,2002-04-21 09:45,,27.250770000000003,-82.43533000000001,True,False,False,S20869169
monpar,Monk Parakeet,Myiopsitta monachus,L127423,Bill Baggs Cape Florida SP,2002-04-23 08:30,5.0,25.6733,-80.1582,True,False,False,S3855186
monpar,Monk Parakeet,Myiopsitta monachus,L127425,Matheson Hammock Park,2002-04-27 10:15,,25.6806539,-80.27263640000001,True,False,False,S69776990
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-04-28,5.0,25.68765,-80.33864,True,False,False,S14339688
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-04-29 08:00,2.0,27.992512899999994,-82.3841363,True,False,True,S67417745
monpar,Monk Parakeet,Myiopsitta monachus,L127423,Bill Baggs Cape Florida SP,2002-05-01 08:30,8.0,25.6733,-80.1582,True,False,False,S3855248
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-05-02 10:40,2.0,27.992512899999994,-82.3841363,True,False,True,S67417916
monpar,Monk Parakeet,Myiopsitta monachus,L6234832,Concord Park,2002-05-07,14.0,25.738383600000002,-80.3787446,True,False,False,S65079165
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-05-08 08:00,2.0,27.992512899999994,-82.3841363,True,False,True,S67417995
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-05-10 08:00,2.0,27.992512899999994,-82.3841363,True,False,True,S67418108
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-05-12 13:10,2.0,27.992512899999994,-82.3841363,True,False,True,S66715585
monpar,Monk Parakeet,Myiopsitta monachus,L7947494,East Lake Park - Personal Residence,2002-05-13 08:00,2.0,27.992512899999994,-82.3841363,True,False,True,S67418315
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-05-15,,25.68765,-80.33864,True,False,False,S6951491
monpar,Monk Parakeet,Myiopsitta monachus,L4665095,Miami Shores 94598 In-laws,2002-05-20 08:00,4.0,25.865997699999998,-80.1781898,True,False,True,S43593878
monpar,Monk Parakeet,Myiopsitta monachus,L473101,Key West,2002-05-22,,24.5558671,-81.7915821,True,False,False,S27417100
monpar,Monk Parakeet,Myiopsitta monachus,L2445866,Marathon Key,2002-05-25 10:00,,24.7186107,-81.0655403,True,False,True,S15836499
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-05-27 11:00,4.0,25.68765,-80.33864,True,False,False,S34843951
monpar,Monk Parakeet,Myiopsitta monachus,L3912271,5606 Del Rio and area around,2002-06-03 09:00,1.0,26.5483627,-81.95684840000001,True,False,True,S25048076
monpar,Monk Parakeet,Myiopsitta monachus,L12193002,Miami (Historical Record - Location Uncertain),2002-06-07,,25.8341103,-80.2702906,True,False,True,S73036492
monpar,Monk Parakeet,Myiopsitta monachus,L2024458,Clearwater Marine Aquarium,2002-06-17,5.0,27.976753000000002,-82.81913,True,False,True,S13197667
monpar,Monk Parakeet,Myiopsitta monachus,L1290846,Miami (Kendall Drive area),2002-06-22 07:30,17.0,25.6917341,-80.37494659999999,True,False,True,S8952062
monpar,Monk Parakeet,Myiopsitta monachus,L554623,Miami Spring Area,2002-06-25 07:30,100.0,25.8168905,-80.28568270000001,True,False,False,S8954731
monpar,Monk Parakeet,Myiopsitta monachus,L554623,Miami Spring Area,2002-06-28,25.0,25.8168905,-80.28568270000001,True,False,False,S46870364
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-07-07 18:15,1.0,25.68765,-80.33864,True,False,False,S8048823
monpar,Monk Parakeet,Myiopsitta monachus,L123566,Miami,2002-07-08,1.0,25.774279999999997,-80.19367,True,False,True,S7329691
monpar,Monk Parakeet,Myiopsitta monachus,L243494,Seminole,2002-07-09,,27.8397,-82.79122,True,False,True,S3084845
monpar,Monk Parakeet,Myiopsitta monachus,L878791,Cliff Stephens Park,2002-07-16,,27.9741641,-82.7218151,True,False,False,S46314019
monpar,Monk Parakeet,Myiopsitta monachus,L3388689,Miami Springs Golf Course,2002-07-25 08:00,,25.814958899999997,-80.29104709999999,True,False,False,S72210071
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2002-08-15,,27.6327266,-82.71815699999999,True,False,False,S5507822
monpar,Monk Parakeet,Myiopsitta monachus,L829445,"444 Crescent Drive, Melbourne, Florida 32901",2002-08-17,1.0,28.100528000000004,-80.6180191,True,False,True,S6532867
monpar,Monk Parakeet,Myiopsitta monachus,L829445,"444 Crescent Drive, Melbourne, Florida 32901",2002-08-18,1.0,28.100528000000004,-80.6180191,True,False,True,S6532872
monpar,Monk Parakeet,Myiopsitta monachus,L829445,"444 Crescent Drive, Melbourne, Florida 32901",2002-08-21,1.0,28.100528000000004,-80.6180191,True,False,True,S6532882
monpar,Monk Parakeet,Myiopsitta monachus,L127346,Anna Maria Island,2002-08-22 09:30,,27.5189,-82.7263,True,False,False,S4914081
monpar,Monk Parakeet,Myiopsitta monachus,L829445,"444 Crescent Drive, Melbourne, Florida 32901",2002-08-25,1.0,28.100528000000004,-80.6180191,True,False,True,S6532914
monpar,Monk Parakeet,Myiopsitta monachus,L127423,Bill Baggs Cape Florida SP,2002-08-26 09:00,5.0,25.6733,-80.1582,True,False,False,S4034604
monpar,Monk Parakeet,Myiopsitta monachus,L200830,A. D. Barnes Park,2002-09-08,1.0,25.7340827,-80.3108552,True,False,False,S37391805
monpar,Monk Parakeet,Myiopsitta monachus,L200830,A. D. Barnes Park,2002-09-14 08:30,,25.7340827,-80.3108552,True,False,False,S20578477
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2002-09-27,,27.6327266,-82.71815699999999,True,False,False,S72604907
monpar,Monk Parakeet,Myiopsitta monachus,L127326,Dunedin Hammock City Park,2002-09-28 08:00,1.0,28.0324,-82.781,True,False,False,S23395598
monpar,Monk Parakeet,Myiopsitta monachus,L685923,Loxahatchee NWR--Visitor Center,2002-09-29,,26.499274800000002,-80.21275209999999,True,False,False,S46846511
monpar,Monk Parakeet,Myiopsitta monachus,L131280,33702 Saint Petersburg,2002-10-05 18:00,12.0,27.844989799999997,-82.6429214,True,False,True,S948807
monpar,Monk Parakeet,Myiopsitta monachus,L200830,A. D. Barnes Park,2002-10-06,,25.7340827,-80.3108552,True,False,False,S43569270
monpar,Monk Parakeet,Myiopsitta monachus,L127328,John R. Bonner Nature Park,2002-10-12,,27.8882461,-82.83747199999999,True,False,False,S5515780
monpar,Monk Parakeet,Myiopsitta monachus,L458906,Sand Key Park,2002-10-23 12:00,3.0,27.960064000000003,-82.8294897,True,False,False,S9555641
monpar,Monk Parakeet,Myiopsitta monachus,L127332,Fort De Soto Park,2002-11-01 09:15,,27.6327266,-82.71815699999999,True,False,False,S952084
monpar,Monk Parakeet,Myiopsitta monachus,L131169,Largo FL Backyard,2002-11-02,2.0,27.8665962,-82.8375015,True,False,True,S950696
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-11-03 12:00,,25.68765,-80.33864,True,False,False,S22923156
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-11-08 09:00,,25.68765,-80.33864,True,False,False,S22923978
monpar,Monk Parakeet,Myiopsitta monachus,L251012,Kendall-- Baptist Hospital Area,2002-11-11 10:15,1.0,25.68765,-80.33864,True,False,False,S49708871
monpar,Monk Parakeet,Myiopsitta monachus,L234146,The Celery Fields,2002-11-14 11:30,,27.3253186,-82.4336821,True,False,False,S4905462
monpar,Monk Parakeet,Myiopsitta monachus,L148140,Tampa,2002-11-17,1.0,27.947500199999997,-82.4584198,True,False,True,S2328287
monpar,Monk Parakeet,Myiopsitta monachus,L376633,Fort Lauderdale Beach Park,2002-11-21,,26.1144444,-80.105,True,False,False,S38914651
monpar,Monk Parakeet,Myiopsitta monachus,L1101205,Loxahatchee NWR--Cypress Swamp Boardwalk,2002-11-22,,26.500145899999996,-80.2108812,True,False,False,S38915123
monpar,Monk Parakeet,Myiopsitta monachus,L140176,33173 Miami,2002-11-28 15:30,6.0,25.698829699999997,-80.36344150000001,True,False,True,S9364746
monpar,Monk Parakeet,Myiopsitta monachus,L697516,Plantation Golf and Country Club,2002-11-29 07:30,,27.061265999999996,-82.3647165,True,False,True,S4904372
monpar,Monk Parakeet,Myiopsitta monachus,L8870278,Gulf Harbors,2002-12-06,,28.234990000000003,-82.75811999999999,True,False,True,S53954873
monpar,Monk Parakeet,Myiopsitta monachus,L8883991,Robert J. Strickland Memorial Park,2002-12-08,,28.362739,-82.710203,True,False,True,S54031625
monpar,Monk Parakeet,Myiopsitta monachus,L783391,BREV Patrick AFB substation,2002-12-09 10:05,30.0,28.2133191,-80.60711859999999,True,True,True,S4043591
monpar,Monk Parakeet,Myiopsitta monachus,L581441,Duck Ponds & Tierra Verde,2002-12-12 09:15,,27.667926899999998,-82.7264071,True,False,False,S4880777
monpar,Monk Parakeet,Myiopsitta monachus,L1258902,Boyd Hill CBC Circle,2002-12-14 05:00,130.0,27.7212203,-82.65701290000001,True,True,True,S8879507
monpar,Monk Parakeet,Myiopsitta monachus,L141627,Home,2002-12-15 07:15,3.0,25.4989223,-80.4372559,True,False,True,S1007677
monpar,Monk Parakeet,Myiopsitta monachus,L3245938,Coral Reef Park,2002-12-21 13:00,5.0,25.631196,-80.3196073,True,False,False,S48699850
monpar,Monk Parakeet,Myiopsitta monachus,L2433544,"FL, Kendall General",2002-12-24,,25.670181200000002,-80.3667068,True,False,True,S15752806
monpar,Monk Parakeet,Myiopsitta monachus,L5491391,Discovery Cove Orlando,2002-12-27,,28.406087199999998,-81.4598002,True,False,False,S62675158
monpar,Monk Parakeet,Myiopsitta monachus,L1669570,Pompano Beach Pier,2002-12-29 09:30,40.0,26.236470699999998,-80.08770679999999,True,False,False,S25578164
monpar,Monk Parakeet,Myiopsitta monachus,L588390,Deerfield Beach Pier,2002-12-31 10:00,10.0,26.3164594,-80.07272059999998,True,False,False,S47177168
