speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
monpar,Monk Parakeet,Myiopsitta monachus,L7718433,"Ann and Roy Butler Hike and Bike Trail, Austin",2018-07-15 18:00,4.0,30.2625396,-97.7485576,True,False,True,S47239480
monpar,Monk Parakeet,Myiopsitta monachus,L722854,"The Triangle Pond, Austin",2018-07-18 18:23,7.0,30.3128387,-97.7336454,True,False,False,S47283081
monpar,Monk Parakeet,Myiopsitta monachus,L723928,"Waller Creek Trail, Austin",2018-07-19 16:27,9.0,30.2605685,-97.7402544,True,False,False,S47299657
monpar,Monk Parakeet,Myiopsitta monachus,L7582215,"3918 Manor Road, Austin, Texas, US (30.29, -97.694)",2018-07-21 20:22,14.0,30.2902984,-97.6942013,True,False,True,S47341342
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-07-22 08:32,2.0,30.328169,-97.718319,True,False,True,S47350787
monpar,Monk Parakeet,Myiopsitta monachus,L128956,Eilers Park/Deep Eddy Community Garden,2018-07-24 18:27,2.0,30.2758007,-97.7720032,True,False,False,S47431887
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-07-26 08:00,2.0,30.2181988,-97.6458054,True,False,False,S47461691
monpar,Monk Parakeet,Myiopsitta monachus,L722854,"The Triangle Pond, Austin",2018-07-27 15:30,2.0,30.3128387,-97.7336454,True,False,False,S47503333
monpar,Monk Parakeet,Myiopsitta monachus,L4828182,New Place,2018-07-28 07:42,2.0,30.328169,-97.718319,True,False,True,S47495974
monpar,Monk Parakeet,Myiopsitta monachus,L7781079,La Quinta,2018-07-29 17:00,1.0,30.2175582,-97.6908536,True,False,True,S47614418
monpar,Monk Parakeet,Myiopsitta monachus,L520032,Shoal Creek Greenbelt--Sheffield Northwest Park,2018-07-30 13:38,8.0,30.3489169,-97.7425289,True,False,False,S47548738
monpar,Monk Parakeet,Myiopsitta monachus,L7640361,TBPE,2018-07-31 08:57,5.0,30.2383332,-97.7373171,True,False,True,S47561599
monpar,Monk Parakeet,Myiopsitta monachus,L7779559,"900 E 11th St, Austin US-TX (30.2703,-97.7313)",2018-08-02 12:28,6.0,30.270283,-97.731279,True,False,True,S47606200
monpar,Monk Parakeet,Myiopsitta monachus,L722854,"The Triangle Pond, Austin",2018-08-03 12:53,1.0,30.3128387,-97.7336454,True,False,False,S47629005
monpar,Monk Parakeet,Myiopsitta monachus,L2169115,Austin--US-183 / Braker Ln,2018-08-04 18:52,2.0,30.4004401,-97.7458736,True,False,True,S47655330
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-08-05 09:00,4.0,30.2181988,-97.6458054,True,False,False,S47687441
monpar,Monk Parakeet,Myiopsitta monachus,L1553053,Austin-Bergstrom Intl. Airport (AUS),2018-08-06 19:43,4.0,30.2023519,-97.666933,True,False,False,S47698994
monpar,Monk Parakeet,Myiopsitta monachus,L2188471,Austin--US-183 / Bolm Rd,2018-08-07 18:20,4.0,30.2533088,-97.6794877,True,False,True,S47714633
monpar,Monk Parakeet,Myiopsitta monachus,L130766,Hornsby Bend (HOTE 037),2018-08-08 08:00,5.0,30.2181988,-97.6458054,True,False,False,S47725716
monpar,Monk Parakeet,Myiopsitta monachus,L7763895,"4201 Ed Bluestein Blvd, Austin US-TX (30.2774,-97.6663)",2018-08-09 06:55,2.0,30.2774,-97.666318,True,False,True,S47739251
monpar,Monk Parakeet,Myiopsitta monachus,L7623338,"2702 Twin Oaks Dr, Austin US-TX",2018-08-10 16:08,12.0,30.344068,-97.743245,True,False,True,S47766690
monpar,Monk Parakeet,Myiopsitta monachus,L723928,"Waller Creek Trail, Austin",2018-08-11 11:00,4.0,30.2605685,-97.7402544,True,False,False,S47794673
monpar,Monk Parakeet,Myiopsitta monachus,L7702707,"Brooke Elementary School, Austin US-TX (30.2554,-97.7080)",2018-08-12 19:40,5.0,30.255408,-97.70804,True,False,True,S47821897
monpar,Monk Parakeet,Myiopsitta monachus,L2698117,"MetCenter Disc Golf Course, Austin",2018-08-13 18:03,2.0,30.2038198,-97.7057505,True,False,False,S47831504
monpar,Monk Parakeet,Myiopsitta monachus,L7868756,Travis - US 290,2018-08-14 09:19,6.0,30.3219319,-97.7004132,True,False,True,S48119968
monpar,Monk Parakeet,Myiopsitta monachus,L2698117,"MetCenter Disc Golf Course, Austin",2018-08-15 12:04,2.0,30.2038198,-97.7057505,True,False,False,S47862442
monpar,Monk Parakeet,Myiopsitta monachus,L7763895,"4201 Ed Bluestein Blvd, Austin US-TX (30.2774,-97.6663)",2018-08-16 06:58,1.0,30.2774,-97.666318,True,False,True,S47875027
